Kecamatan;URL; Price ;Kamar Tidur;Kamar Mandi;Luas Tanah;Luas Bangunan;Sertifikat;Daya Listrik;Ruang Makan;Ruang Tamu;Kondisi Perabotan;Jumlah Lantai;Hadap;Terjangkau Internet;Lebar Jalan;Sumber Air;Hook;Kondisi Properti;ID Iklan
wonokromo;https://www.rumah123.com/properti/surabaya/hos10785157/; 600.000.000 ;3;2;45;70;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Barat;Tidak;;;Tidak;Baru;hos10785157
rungkut;https://www.rumah123.com/properti/surabaya/hos14967398/; 600.000.000 ;3;2;48;2023;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14967398
semampir;https://www.rumah123.com/properti/surabaya/hos14975276/; 600.000.000 ;3;3;48;85;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;3;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14975276
pakal;https://www.rumah123.com/properti/surabaya/hos11538329/; 600.000.000 ;2;1;50;91;HGB - Hak Guna Bangunan;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;Sumur Pompa;Ya;Baru;hos11538329
gayungan;https://www.rumah123.com/properti/surabaya/hos14770370/; 600.000.000 ;2;2;51;50;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;;;Tidak;;PAM atau PDAM;Tidak;Baru;hos14770370
rungkut;https://www.rumah123.com/properti/surabaya/hos14670567/; 600.000.000 ;2;1;60;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Sudah Renovasi;hos14670567
tambaksari;https://www.rumah123.com/properti/surabaya/hos15150699/; 600.000.000 ;3;2;60;120;Lainnya (PPJB,Girik,Adat,dll);1300;Ya;Ya;Unfurnished;2;;Ya;4 Mobil;PAM atau PDAM;Tidak;Baru;hos15150699
benowo;https://www.rumah123.com/properti/surabaya/hos12000059/; 600.000.000 ;3;1;64;100;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;1;Selatan;Tidak;;;Tidak;Baru;hos12000059
sambikerep;https://www.rumah123.com/properti/surabaya/hos14629442/; 600.000.000 ;2;1;65;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14629442
wonokromo;https://www.rumah123.com/properti/surabaya/hos15214562/; 600.000.000 ;2;1;67;67;SHM - Sertifikat Hak Milik;900;Ya;Ya;Unfurnished;2;Barat;Ya;1 Mobil;PAM atau PDAM;Tidak;Bagus;hos15214562
benowo;https://www.rumah123.com/properti/surabaya/hos13687118/; 600.000.000 ;3;2;72;60;SHM - Sertifikat Hak Milik;1300;;Tidak;Unfurnished;2;Barat;Ya;2 Mobil;;Tidak;Bagus;hos13687118
benowo;https://www.rumah123.com/properti/surabaya/hos10377687/; 600.000.000 ;2;1;72;72;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;Selatan;;;;;Baru;hos10377687
rungkut;https://www.rumah123.com/properti/surabaya/hos15355118/; 600.000.000 ;1;2;72;72;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Utara;Tidak;;PAM atau PDAM;Tidak;Bagus;hos15355118
rungkut;https://www.rumah123.com/properti/surabaya/hos14840573/; 600.000.000 ;2;1;72;60;HGB - Hak Guna Bangunan;1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;2 Mobil;PAM atau PDAM;Tidak;;hos14840573
rungkut;https://www.rumah123.com/properti/surabaya/hos14727004/; 600.000.000 ;1;2;72;72;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Utara;Tidak;1 Mobil;PAM atau PDAM;Tidak;;hos14727004
rungkut;https://www.rumah123.com/properti/surabaya/hos14306023/; 600.000.000 ;2;1;72;60;Lainnya (PPJB,Girik,Adat,dll);;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14306023
sambikerep;https://www.rumah123.com/properti/surabaya/hos13469989/; 600.000.000 ;3;2;72;60;Lainnya (PPJB,Girik,Adat,dll);1300;Tidak;Tidak;Unfurnished;1;Barat;Tidak;;PAM atau PDAM;Tidak;Bagus;hos13469989
sambikerep;https://www.rumah123.com/properti/surabaya/hos14379424/; 600.000.000 ;2;1;81;63;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14379424
sambikerep;https://www.rumah123.com/properti/surabaya/hos13752941/; 600.000.000 ;2;1;84;61;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;1;;Ya;;PAM atau PDAM;Tidak;Baru;hos13752941
benowo;https://www.rumah123.com/properti/surabaya/hos14707918/; 600.000.000 ;3;2;90;60;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Baru;hos14707918
lakarsantri;https://www.rumah123.com/properti/surabaya/hos15077749/; 600.000.000 ;4;2;90;90;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;;Ya;;PAM atau PDAM;Tidak;Baru;hos15077749
tambaksari;https://www.rumah123.com/properti/surabaya/hos14494206/; 600.000.000 ;7;1;91;91;SHM - Sertifikat Hak Milik;900;Tidak;Tidak;Unfurnished;1;Timur;Ya;1 Mobil;Sumur Bor;Tidak;Bagus;hos14494206
tandes;https://www.rumah123.com/properti/surabaya/hos10444618/; 600.000.000 ;4;2;91;120;SHM - Sertifikat Hak Milik;;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos10444618
tenggilis mejoyo;https://www.rumah123.com/properti/surabaya/hos11540242/; 600.000.000 ;2;1;91;50;HGB - Hak Guna Bangunan;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Baru;hos11540242
rungkut;https://www.rumah123.com/properti/surabaya/hos14300886/; 600.000.000 ;3;2;94;75;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14300886
pakal;https://www.rumah123.com/properti/surabaya/hos15009995/; 600.000.000 ;4;1;95;95;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Timur;Ya;;PAM atau PDAM;Tidak;Bagus;hos15009995
lakarsantri;https://www.rumah123.com/properti/surabaya/hos13655121/; 600.000.000 ;2;1;96;80;HGB - Hak Guna Bangunan;;;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos13655121
tandes;https://www.rumah123.com/properti/surabaya/hos15299478/; 600.000.000 ;2;1;96;96;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos15299478
tandes;https://www.rumah123.com/properti/surabaya/hos14727147/; 600.000.000 ;2;1;96;96;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos14727147
tandes;https://www.rumah123.com/properti/surabaya/hos15299465/; 600.000.000 ;3;1;108;108;HGB - Hak Guna Bangunan;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos15299465
wiyung;https://www.rumah123.com/properti/surabaya/hos11112171/; 607.000.000 ;3;2;128;158;SHM - Sertifikat Hak Milik;3500;;;Unfurnished;2;Selatan;;;;;Bagus;hos11112171
rungkut;https://www.rumah123.com/properti/surabaya/hos15274968/; 615.000.000 ;1;2;377;150;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos15274968
sawahan;https://www.rumah123.com/properti/surabaya/hos15076683/; 620.000.000 ;3;1;54;80;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus;hos15076683
tegalsari;https://www.rumah123.com/properti/surabaya/hos13639997/; 625.000.000 ;2;2;45;90;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos13639997
sambikerep;https://www.rumah123.com/properti/surabaya/hos15299491/; 625.000.000 ;2;2;56;72;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos15299491
tambaksari;https://www.rumah123.com/properti/surabaya/hos13658568/; 625.000.000 ;2;1;63;50;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos13658568
sukolilo;https://www.rumah123.com/properti/surabaya/hos15043450/; 625.000.000 ;3;2;91;50;SHM - Sertifikat Hak Milik;3300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos15043450
benowo;https://www.rumah123.com/properti/surabaya/hos14400590/; 625.000.000 ;2;1;105;70;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14400590
wiyung;https://www.rumah123.com/properti/surabaya/hos13419151/; 625.000.000 ;4;3;126;180;SHM - Sertifikat Hak Milik;4400;Tidak;Tidak;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos13419151
tambaksari;https://www.rumah123.com/properti/surabaya/hos14664181/; 630.000.000 ;2;1;54;53;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Barat;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14664181
asemrowo;https://www.rumah123.com/properti/surabaya/hos8999975/; 635.000.000 ;2;2;48;60;SHM - Sertifikat Hak Milik;;;;Unfurnished;2;Timur;;;;;Baru;hos8999975
lakarsantri;https://www.rumah123.com/properti/surabaya/hos14183685/; 640.000.000 ;2;1;90;70;HGB - Hak Guna Bangunan;1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14183685
rungkut;https://www.rumah123.com/properti/surabaya/hos14476281/; 645.000.000 ;3;2;49;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Baru;hos14476281
rungkut;https://www.rumah123.com/properti/surabaya/hos15254840/; 650.000.000 ;3;2;50;65;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos15254840
rungkut;https://www.rumah123.com/properti/surabaya/hos14781804/; 650.000.000 ;3;2;50;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14781804
gubeng;https://www.rumah123.com/properti/surabaya/hos15096769/; 650.000.000 ;3;2;58;58;Lainnya (PPJB,Girik,Adat,dll);1300;Tidak;Tidak;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos15096769
rungkut;https://www.rumah123.com/properti/surabaya/hos15211998/; 650.000.000 ;2;1;59;59;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;Utara;Tidak;;Sumur Bor;Tidak;Bagus;hos15211998
mulyorejo;https://www.rumah123.com/properti/surabaya/hos15137205/; 650.000.000 ;2;1;60;150;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos15137205
rungkut;https://www.rumah123.com/properti/surabaya/hos15074383/; 650.000.000 ;2;1;60;60;HGB - Hak Guna Bangunan;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos15074383
tambaksari;https://www.rumah123.com/properti/surabaya/hos15172402/; 650.000.000 ;2;1;60;150;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos15172402
sambikerep;https://www.rumah123.com/properti/surabaya/hos15048680/; 650.000.000 ;3;2;69;69;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos15048680
mulyorejo;https://www.rumah123.com/properti/surabaya/hos15240156/; 650.000.000 ;2;2;70;70;Lainnya (PPJB,Girik,Adat,dll);900;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Ya;Bagus;hos15240156
rungkut;https://www.rumah123.com/properti/surabaya/hos14995618/; 650.000.000 ;2;1;72;54;HGB - Hak Guna Bangunan;;Ya;Ya;Unfurnished;1;;Ya;;PAM atau PDAM;Tidak;Butuh Renovasi;hos14995618
tandes;https://www.rumah123.com/properti/surabaya/hos15299504/; 650.000.000 ;3;2;72;100;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos15299504
lakarsantri;https://www.rumah123.com/properti/surabaya/hos14767054/; 650.000.000 ;2;1;84;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14767054
rungkut;https://www.rumah123.com/properti/surabaya/hos15135358/; 650.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos15135358
rungkut;https://www.rumah123.com/properti/surabaya/hos15135386/; 650.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos15135386
rungkut;https://www.rumah123.com/properti/surabaya/hos15170550/; 650.000.000 ;3;1;90;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos15170550
rungkut;https://www.rumah123.com/properti/surabaya/hos15151094/; 650.000.000 ;3;1;90;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos15151094
tambaksari;https://www.rumah123.com/properti/surabaya/hos10820943/; 650.000.000 ;3;2;92;150;SHM - Sertifikat Hak Milik;1300;;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos10820943
benowo;https://www.rumah123.com/properti/surabaya/hos15242202/; 650.000.000 ;2;1;95;50;HGB - Hak Guna Bangunan;1300;Tidak;Tidak;Unfurnished;1;Selatan;Tidak;;PAM atau PDAM;Tidak;Baru;hos15242202
rungkut;https://www.rumah123.com/properti/surabaya/hos15139945/; 650.000.000 ;2;2;100;80;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;;hos15139945
tandes;https://www.rumah123.com/properti/surabaya/hos14025888/; 650.000.000 ;4;2;100;100;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14025888
rungkut;https://www.rumah123.com/properti/surabaya/hos14901017/; 650.000.000 ;3;1;110;60;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14901017
wiyung;https://www.rumah123.com/properti/surabaya/hos12822339/; 650.000.000 ;3;3;128;125;SHM - Sertifikat Hak Milik;3500;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Sudah Renovasi;hos12822339
benowo;https://www.rumah123.com/properti/surabaya/hos10298940/; 650.000.000 ;2;1;134;100;SHM - Sertifikat Hak Milik;2200;Tidak;Tidak;Unfurnished;1;Barat;Tidak;;;Tidak;Butuh Renovasi;hos10298940
wiyung;https://www.rumah123.com/properti/surabaya/hos13896922/; 650.000.000 ;3;2;225;210;SHM - Sertifikat Hak Milik;3300;;Ya;Unfurnished;1;Selatan;Ya;;PAM atau PDAM;Tidak;Butuh Renovasi;hos13896922
wiyung;https://www.rumah123.com/properti/surabaya/hos10396489/; 650.000.000 ;3;2;257;122;SHM - Sertifikat Hak Milik;4400;;;Unfurnished;1;Selatan;;;;;Bagus;hos10396489
rungkut;https://www.rumah123.com/properti/surabaya/hos15200235/; 655.000.000 ;3;2;48;63;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos15200235
rungkut;https://www.rumah123.com/properti/surabaya/hos15076701/; 670.000.000 ;3;2;50;120;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos15076701
kenjeran;https://www.rumah123.com/properti/surabaya/hos14398310/; 670.000.000 ;4;2;160;120;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14398310
tambaksari;https://www.rumah123.com/properti/surabaya/hos14606973/; 670.000.000 ;2;1;188;160;SHM - Sertifikat Hak Milik;4400;Ya;Ya;Unfurnished;1;Utara;Ya;1 Mobil;Sumur Pompa;Ya;Bagus;hos14606973
kenjeran;https://www.rumah123.com/properti/surabaya/hos14345998/; 675.000.000 ;3;2;45;90;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14345998
rungkut;https://www.rumah123.com/properti/surabaya/hos15210598/; 675.000.000 ;3;2;50;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos15210598
rungkut;https://www.rumah123.com/properti/surabaya/hos15192232/; 675.000.000 ;3;2;50;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Timur;Ya;3 Mobil;PAM atau PDAM;Tidak;Baru;hos15192232
rungkut;https://www.rumah123.com/properti/surabaya/hos15131196/; 675.000.000 ;3;2;50;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos15131196
rungkut;https://www.rumah123.com/properti/surabaya/hos15017730/; 675.000.000 ;3;2;50;75;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos15017730
rungkut;https://www.rumah123.com/properti/surabaya/hos14687028/; 675.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14687028
rungkut;https://www.rumah123.com/properti/surabaya/hos14447581/; 675.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14447581
rungkut;https://www.rumah123.com/properti/surabaya/hos14447525/; 675.000.000 ;3;2;50;70;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14447525
pakal;https://www.rumah123.com/properti/surabaya/hos14158422/; 675.000.000 ;2;1;74;60;HGB - Hak Guna Bangunan;1300;;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14158422
rungkut;https://www.rumah123.com/properti/surabaya/hos15259871/; 675.000.000 ;3;1;88;50;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru;hos15259871
rungkut;https://www.rumah123.com/properti/surabaya/hos14540436/; 675.000.000 ;3;1;88;50;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru;hos14540436
rungkut;https://www.rumah123.com/properti/surabaya/hos14479073/; 675.000.000 ;3;1;88;60;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Baru;hos14479073
rungkut;https://www.rumah123.com/properti/surabaya/hos14462477/; 675.000.000 ;3;1;88;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14462477
rungkut;https://www.rumah123.com/properti/surabaya/hos14462433/; 675.000.000 ;3;1;88;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14462433
rungkut;https://www.rumah123.com/properti/surabaya/hos14277234/; 675.000.000 ;3;1;88;60;SHM - Sertifikat Hak Milik;1300;;Tidak;Unfurnished;1;Utara;Tidak;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14277234
lakarsantri;https://www.rumah123.com/properti/surabaya/hos15316870/; 675.000.000 ;3;1;90;90;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;1;;Tidak;;;Tidak;Bagus;hos15316870
lakarsantri;https://www.rumah123.com/properti/surabaya/hos12816664/; 675.000.000 ;3;1;90;72;SHM - Sertifikat Hak Milik;2200;;Tidak;Unfurnished;1;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos12816664
rungkut;https://www.rumah123.com/properti/surabaya/hos15134322/; 675.000.000 ;3;1;110;60;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos15134322
rungkut;https://www.rumah123.com/properti/surabaya/hos14903160/; 680.000.000 ;3;2;54;75;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Utara;Ya;3 Mobil;PAM atau PDAM;Ya;Baru;hos14903160
sukolilo;https://www.rumah123.com/properti/surabaya/hos12450483/; 680.000.000 ;2;1;60;56;SHM - Sertifikat Hak Milik;1300;;Ya;Unfurnished;1;Selatan;Ya;3 Mobil;PAM atau PDAM;Tidak;Bagus;hos12450483
benowo;https://www.rumah123.com/properti/surabaya/hos15088431/; 680.000.000 ;2;1;72;126;Lainnya (PPJB,Girik,Adat,dll);2200;Ya;Ya;Unfurnished;1;;Ya;;PAM atau PDAM;Tidak;Bagus;hos15088431
benowo;https://www.rumah123.com/properti/surabaya/hos14816232/; 680.000.000 ;2;1;72;126;Lainnya (PPJB,Girik,Adat,dll);2200;Ya;Ya;Unfurnished;1;;Ya;1 Mobil;PAM atau PDAM;Tidak;Bagus;hos14816232
lakarsantri;https://www.rumah123.com/properti/surabaya/hos8887949/; 682.000.000 ;2;2;52;50;Lainnya (PPJB,Girik,Adat,dll);;;;Unfurnished;2;;;;;;Baru;hos8887949
lakarsantri;https://www.rumah123.com/properti/surabaya/hos9528829/; 683.000.000 ;2;2;50;52;HGB - Hak Guna Bangunan;2200;;;Unfurnished;2;Utara;;;;;Baru;hos9528829
rungkut;https://www.rumah123.com/properti/surabaya/hos15154611/; 685.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos15154611
rungkut;https://www.rumah123.com/properti/surabaya/hos14781942/; 685.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14781942
rungkut;https://www.rumah123.com/properti/surabaya/hos14781811/; 685.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;1;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14781811
rungkut;https://www.rumah123.com/properti/surabaya/hos14541223/; 685.000.000 ;2;1;90;50;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14541223
kenjeran;https://www.rumah123.com/properti/surabaya/hos14486435/; 690.000.000 ;3;2;57;114;SHM - Sertifikat Hak Milik;2200;Ya;Ya;Unfurnished;2;Timur;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos14486435
pakal;https://www.rumah123.com/properti/surabaya/hos14158430/; 690.000.000 ;2;2;79;60;HGB - Hak Guna Bangunan;1300;;Ya;Unfurnished;2;;Tidak;;PAM atau PDAM;Tidak;Bagus;hos14158430
rungkut;https://www.rumah123.com/properti/surabaya/hos14492143/; 697.000.000 ;2;1;52;53;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14492143
rungkut;https://www.rumah123.com/properti/surabaya/hos14523456/; 697.000.000 ;1;1;52;53;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14523456
rungkut;https://www.rumah123.com/properti/surabaya/hos14542551/; 697.000.000 ;2;1;52;53;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14542551
rungkut;https://www.rumah123.com/properti/surabaya/hos14522944/; 697.000.000 ;2;1;52;53;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;1;Barat;Ya;2 Mobil;PAM atau PDAM;Tidak;Baru;hos14522944
sambikerep;https://www.rumah123.com/properti/surabaya/hos14855791/; 697.000.000 ;1;1;288;307;SHM - Sertifikat Hak Milik;3300;Tidak;Tidak;Unfurnished;1;Utara;Ya;2 Mobil;;Ya;Butuh Renovasi;hos14855791
benowo;https://www.rumah123.com/properti/surabaya/hos10345880/; 698.000.000 ;2;2;65;66;HGB - Hak Guna Bangunan;2200;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;;;Tidak;Baru;hos10345880
benowo;https://www.rumah123.com/properti/surabaya/hos15316973/; 699.000.000 ;4;2;72;144;SHM - Sertifikat Hak Milik;;Tidak;Tidak;Unfurnished;2;;Tidak;;;Tidak;Bagus;hos15316973
sukolilo;https://www.rumah123.com/properti/surabaya/hos10747973/; 700.000.000 ;2;2;45;70;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Barat;Tidak;;;Tidak;Baru;hos10747973
tambaksari;https://www.rumah123.com/properti/surabaya/hos11123648/; 700.000.000 ;2;2;45;90;SHM - Sertifikat Hak Milik;2200;;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos11123648
rungkut;https://www.rumah123.com/properti/surabaya/hos14875288/; 700.000.000 ;3;2;48;63;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;;PAM atau PDAM;Tidak;Baru;hos14875288
rungkut;https://www.rumah123.com/properti/surabaya/hos14732074/; 700.000.000 ;3;2;48;63;SHM - Sertifikat Hak Milik;1300;Tidak;Tidak;Unfurnished;2;Selatan;Tidak;;PAM atau PDAM;Tidak;Baru;hos14732074
rungkut;https://www.rumah123.com/properti/surabaya/hos15135698/; 700.000.000 ;3;2;50;66;SHM - Sertifikat Hak Milik;1300;Ya;Ya;Unfurnished;2;Utara;Ya;2 Mobil;PAM atau PDAM;Tidak;Bagus;hos15135698
rungkut;https://www.rumah123.com/properti/surabaya/hos14541241/; 700.000.000 ;3;2;50;80;HGB - Hak Guna Bangunan;;Ya;Ya;Unfurnished;2;Selatan;Ya;2 Mobil;;Tidak;Baru;hos14541241
